0,92,67
1,91,65
2,90,65
3,89,65
4,88,64
5,87,65
6,86,66
7,85,64
8,86,64
9,85,63
10,87,63
11,84,64
12,85,63
13,87,63
14,89,63
15,86,62
16,86,62
17,86,60
18,86,62
19,87,64
20,88,63
21,89,66
22,88,65
23,90,64
24,90,65
25,91,66
26,91,65
27,91,64
28,93,65
29,92,64
30,94,63
31,94,64
32,94,64
33,94,63
34,94,61
35,95,61
36,96,62
37,97,63
38,97,62
39,94,60
40,94,63
41,92,65
42,91,62
43,90,63
44,89,63
45,84,64
46,83,66
47,81,62
48,79,65
49,77,66
50,76,68
51,74,66
52,75,69
53,72,71
54,69,72
55,68,72
56,67,71
57,63,73
58,65,73
59,62,72
60,66,71
61,63,71
62,64,73
63,65,75
64,63,75
65,65,74
66,65,72
67,63,74
68,62,75
69,65,75
70,66,73
71,65,73
72,65,72
73,64,69
74,65,67
75,65,68
76,65,65
77,68,66
78,70,67
79,70,64
80,71,65
81,75,64
82,75,62
83,76,62
84,79,64
85,83,63
86,85,62
87,86,58
88,90,58
89,91,60
90,97,60
91,102,60
92,105,60
93,106,60
94,109,60
95,109,60
96,109,60
97,109,61
98,108,59
99,109,63
100,105,64
101,107,62
102,105,64
103,101,62
104,99,61
105,96,63
106,95,62
107,92,63
108,90,63
109,87,61
110,85,61
111,83,60
112,80,59
113,79,60
114,80,61
115,78,58
116,78,61
117,80,61
118,80,62
119,78,61
120,78,59
121,77,60
122,74,59
123,75,59
124,75,59
125,74,58
126,76,57
127,75,55
128,75,57
129,74,56
130,74,57
131,75,56
132,74,56
133,74,55
134,74,56
135,73,55
136,72,53
137,72,54
138,74,56
139,76,57
140,76,56
141,77,56
142,79,55
143,81,57
144,81,57
145,82,57
146,82,57
147,81,56
148,82,56
149,82,56
150,82,56
151,82,55
152,82,55
153,82,53
154,82,54
155,81,54
156,80,54
157,81,54
158,81,53
159,83,54
160,81,53
161,83,55
162,83,54
163,82,55
164,81,55
165,82,56
166,84,56
167,82,59
168,84,60
169,83,60
170,84,61
171,85,62
172,84,61
173,85,61
174,86,63
175,87,63
176,87,63
177,85,62
178,85,64
179,85,64
180,85,66
181,85,64
182,85,65
183,86,65
184,88,67
185,88,67
186,90,69
187,91,69
188,91,68
189,92,70
190,92,69
191,96,74
192,97,76
193,97,77
194,99,79
195,99,77
196,99,77
197,100,76
198,105,81
199,103,81
200,107,82
201,109,83
202,109,84
203,110,84
204,111,82
205,112,83
206,115,84
207,115,82
208,116,81
209,116,80
210,115,80
211,111,77
212,110,73
213,106,71
214,103,70
215,100,68
216,94,65
217,89,63
218,86,63
219,82,61
220,78,64
221,75,65
222,73,63
223,69,67
224,66,66
225,65,67
226,65,65
227,63,67
228,64,67
229,63,67
230,65,65
231,66,67
232,67,65
233,70,68
234,71,66
235,72,69
236,74,69
237,76,68
238,80,68
239,80,70
240,82,69
241,82,69
242,85,72
243,87,71
244,86,69
245,87,72
246,88,72
247,87,71
248,89,69
249,88,69
250,87,68
251,87,67
252,86,67
253,86,66
254,85,68
255,82,66
256,84,64
